NUMBER	X_IMAGE	Y_IMAGE	RA	DEC	A_IMAGE	B_IMAGE	THETA_IMAGE	ELLIPTICITY	FLUX_AUTO	FLUXERR_AUTO	MAG_AUTO	MAGERR_AUTO	KRON_RADIUS	R_EFF_PIX	R_EFF_ARCSEC	MU_EFF	SNR_TOTAL	FLUX_APER_5	FLUX_APER_10	FLUX_APER_20	FLUX_APER_40	SERSIC_N	SERSIC_RE	SERSIC_CHI2	MAG_SERSIC	MU_EFF_SERSIC	LSBG_CONF	LSBG_GRADE	FLAGS	LABEL	MATCH_INFO
1	3232.677	11.593	21.5038718	-1.6193091	9.193	5.007	-83.123	0.4553	1.939823e+03	1.739006e+02	21.7806	0.0973	3.500	10.419	2.7402	26.8430	11.155	6.914841e+01	3.883015e+02	7.852284e+02	1.206753e+03	0.360	12.888	6.082	22.8704	26.8568	0.479	C	16	0	unmatched_591.59
2	1485.419	30.378	21.6315676	-1.6179263	9.759	3.769	-6.240	0.6138	2.198744e+03	1.898010e+02	21.6446	0.0937	3.500	22.555	5.9320	28.1130	11.584	1.016059e+02	3.199122e+02	5.278532e+02	2.422275e+03	0.360	0.955	7.092	24.0528	22.6175	0.327	C	16	0	unmatched_604.80
3	3136.412	48.719	21.5109071	-1.6165965	14.208	9.138	-89.765	0.3569	5.199448e+03	2.924606e+02	20.7101	0.0611	3.500	19.754	5.1952	27.4259	17.778	1.360249e+02	3.624421e+02	9.206739e+02	1.563945e+03	0.984	13.533	4.874	22.9373	27.1618	0.564	B	16	0	unmatched_573.96
4	3071.689	89.832	21.5156371	-1.6135927	12.581	5.512	-50.086	0.5619	4.021358e+03	2.388507e+02	20.9891	0.0645	3.500	14.884	3.9146	27.3050	16.836	8.944691e+01	3.217056e+02	7.500324e+02	1.179024e+03	0.360	12.824	4.523	23.2449	26.9843	0.474	C	0	0	unmatched_558.47
5	2997.431	97.607	21.5210641	-1.6130244	11.622	5.053	-39.403	0.5653	2.104841e+03	2.168604e+02	21.6920	0.1119	3.500	12.705	3.3415	27.9262	9.706	-1.864684e-01	1.258075e+02	3.697249e+02	5.920893e+02	0.360	12.396	3.843	24.0655	27.7227	0.348	C	0	0	unmatched_551.06
6	3551.390	90.114	21.4805787	-1.6135737	11.031	5.405	-47.984	0.5100	2.975654e+03	2.269357e+02	21.3160	0.0828	3.500	20.925	5.5032	27.2121	13.112	3.898634e+02	8.738883e+02	1.149611e+03	2.649584e+03	0.518	5.155	5.834	22.5711	25.0058	0.515	B	0	0	unmatched_571.88
7	5148.801	124.557	21.3638335	-1.6110587	9.292	6.386	-39.179	0.3127	3.102331e+03	2.205951e+02	21.2708	0.0772	3.500	13.707	3.6049	26.6430	14.063	3.286375e+02	5.643199e+02	1.690789e+03	1.866371e+03	0.360	13.466	4.803	22.1131	25.3116	0.577	B	0	0	unmatched_415.32
8	4330.122	93.220	21.4236658	-1.6133483	9.847	3.837	64.545	0.6103	2.527403e+03	1.701627e+02	21.4933	0.0731	3.500	15.153	3.9853	26.9662	14.853	4.048329e+02	6.237373e+02	1.321561e+03	1.993421e+03	0.767	4.446	5.037	23.1421	25.0248	0.526	B	0	0	unmatched_458.92
9	4334.060	124.963	21.4233780	-1.6110293	7.228	3.945	52.655	0.4541	2.569905e+03	1.439704e+02	21.4752	0.0608	3.500	11.603	3.0516	26.8597	17.850	3.991882e+02	4.870238e+02	9.530963e+02	2.225209e+03	NaN	NaN	NaN	NaN	NaN	0.510	B	0	0	unmatched_450.84
10	5822.723	139.782	21.3145807	-1.6099450	10.002	7.119	44.541	0.2882	1.507033e+03	2.369560e+02	22.0547	0.1707	3.586	10.615	2.7917	27.2559	6.360	4.533525e+01	2.655354e+02	5.341910e+02	1.048964e+03	0.360	12.219	3.629	23.4870	26.6217	0.456	C	0	0	unmatched_461.59
11	4392.485	154.558	21.4191081	-1.6088673	9.692	3.094	-66.377	0.6808	1.072702e+03	1.453712e+02	22.4238	0.1471	3.500	10.495	2.7602	27.3127	7.379	6.874893e+01	2.651474e+02	4.040810e+02	7.024935e+02	0.453	3.045	3.326	24.1532	25.5806	0.403	C	0	0	unmatched_437.73
12	4186.554	194.914	21.4341583	-1.6059189	9.009	4.707	75.760	0.4776	1.813533e+03	1.710696e+02	21.8537	0.1024	3.790	20.278	5.3332	28.4136	10.601	9.461387e+01	2.106861e+02	3.831028e+02	8.109060e+02	NaN	NaN	NaN	NaN	NaN	0.258	D	0	0	unmatched_451.42
13	3930.772	204.602	21.4528518	-1.6052108	11.690	5.806	88.892	0.5033	3.110546e+03	2.027511e+02	21.2679	0.0708	3.500	10.307	2.7108	27.1358	15.342	1.300730e+02	3.106326e+02	4.523013e+02	7.547012e+02	0.967	6.232	2.764	23.6297	25.8135	0.541	B	0	0	unmatched_485.40
14	5288.358	186.301	21.3536342	-1.6065478	27.396	18.675	-77.332	0.3183	3.731074e+04	6.509123e+02	18.5704	0.0189	3.596	33.870	8.9077	27.4742	57.321	6.391377e+01	2.657029e+02	1.048320e+03	3.255542e+03	0.360	46.283	4.384	20.6945	27.4949	0.588	B	16	0	unmatched_404.03
15	615.787	220.603	21.6951208	-1.6040214	7.838	3.989	77.871	0.4910	1.216479e+03	1.482087e+02	22.2872	0.1323	3.500	9.875	2.5970	26.4494	8.208	4.073944e+02	5.603854e+02	9.392972e+02	1.200746e+03	0.630	3.733	3.540	23.2039	24.8895	0.560	B	0	0	unmatched_647.30
16	5833.210	220.892	21.3138145	-1.6040195	12.876	6.081	20.134	0.5278	2.904222e+03	2.381010e+02	21.3424	0.0890	3.500	17.250	4.5369	27.4864	12.197	4.816723e+02	5.735967e+02	7.093365e+02	1.295481e+03	0.662	2.652	3.968	23.1902	24.3140	0.480	C	0	0	unmatched_444.09
17	4270.520	223.972	21.4280217	-1.6037962	11.439	5.381	68.014	0.5296	1.434741e+03	1.875802e+02	22.1081	0.1420	3.502	17.870	4.6999	28.2580	7.649	2.756710e+01	1.554644e+02	4.132701e+02	8.770318e+02	0.360	9.997	2.647	24.2065	26.6623	0.329	C	0	0	unmatched_434.34
18	5376.259	234.445	21.3472101	-1.6030306	14.480	5.584	84.510	0.6144	4.144165e+03	2.533132e+02	20.9564	0.0664	3.500	13.571	3.5691	26.3467	16.360	6.990277e+02	9.986663e+02	1.521744e+03	2.127121e+03	0.494	3.920	4.741	22.6162	24.3514	0.604	B	0	0	unmatched_396.47
19	3991.656	277.422	21.4484020	-1.5998911	14.005	6.084	-32.904	0.5656	1.046006e+04	2.406080e+02	19.9512	0.0250	3.819	21.022	5.5289	28.0668	43.473	3.010249e+02	3.767299e+02	5.410943e+02	1.044905e+03	0.433	2.940	4.763	23.7424	25.0937	0.446	C	0	0	unmatched_460.50
20	2198.510	289.561	21.5794510	-1.5989971	11.005	7.503	79.978	0.3182	1.159980e+03	2.142568e+02	22.3389	0.2005	3.500	10.861	2.8564	27.6321	5.414	4.876775e+01	1.771688e+02	4.909142e+02	5.033364e+02	0.360	17.209	2.690	22.8746	27.7327	0.409	C	0	0	unmatched_485.64
21	2891.526	313.229	21.5288032	-1.5972718	16.492	5.422	-55.440	0.6712	4.577424e+03	2.286994e+02	20.8484	0.0542	3.500	30.754	8.0883	28.2229	20.015	8.062751e+01	4.087698e+02	8.682939e+02	1.200034e+03	0.779	5.820	3.034	23.0643	25.4889	0.472	C	0	0	unmatched_489.18
22	2512.665	312.423	21.5564916	-1.5973287	19.471	8.929	-68.320	0.5414	2.003327e+04	3.337654e+02	19.2456	0.0181	3.500	21.014	5.5266	26.2918	60.022	4.730081e+02	1.388891e+03	2.826968e+03	4.523467e+03	0.835	17.756	4.565	21.1185	25.6954	0.666	B	0	0	unmatched_475.53
23	364.346	352.629	21.7134953	-1.5943738	9.272	6.684	11.586	0.2791	3.570143e+03	2.547578e+02	21.1183	0.0775	3.783	13.022	3.4249	27.4578	14.014	7.009879e+01	2.742415e+02	5.791392e+02	1.266446e+03	NaN	NaN	NaN	NaN	NaN	0.444	C	0	0	unmatched_643.02
24	4799.808	354.533	21.3893394	-1.5942582	15.783	5.419	-10.401	0.6566	8.369217e+03	2.418639e+02	20.1933	0.0314	3.500	14.257	3.7496	27.9469	34.603	5.978583e+01	1.603177e+02	7.262279e+02	6.066009e+02	0.360	17.343	5.224	23.4960	27.1989	0.394	C	0	0	unmatched_357.86
25	2523.056	370.443	21.5557319	-1.5930902	10.508	6.377	-82.792	0.3931	1.745147e+04	2.517602e+02	19.3954	0.0157	4.302	9.989	2.6271	26.9063	69.318	1.511701e+02	3.757729e+02	5.461319e+02	1.711436e+03	0.817	3.385	3.993	24.0016	25.4876	0.613	B	0	0	unmatched_460.39
26	810.367	416.863	21.6808988	-1.5896859	7.523	4.641	65.944	0.3830	9.500134e+02	1.409962e+02	22.5557	0.1611	3.500	9.603	2.5255	27.3314	6.738	6.517902e+01	2.500118e+02	4.026813e+02	7.682698e+02	0.360	9.320	2.726	23.8287	27.2467	0.435	C	0	0	unmatched_581.45
27	858.376	400.395	21.6773904	-1.5908894	9.827	6.974	-65.123	0.2903	3.840932e+03	1.986379e+02	21.0389	0.0562	3.500	16.340	4.2973	27.8069	19.336	2.841798e+02	3.943539e+02	6.138248e+02	1.159563e+03	0.426	3.465	2.658	23.7026	25.2884	0.535	B	0	0	unmatched_581.76
28	6598.287	413.364	21.2579009	-1.5899554	16.439	7.150	22.223	0.5650	2.903155e+04	3.223004e+02	18.8428	0.0121	3.500	28.996	7.6260	27.6963	90.076	4.447779e+02	6.106380e+02	9.339810e+02	2.141378e+03	0.521	4.314	4.585	23.0885	24.8360	0.535	B	0	0	unmatched_536.20
29	1834.086	420.203	21.6060834	-1.5894506	8.395	5.914	-28.426	0.2954	3.439569e+03	1.739126e+02	21.1587	0.0549	3.500	9.632	2.5333	26.1625	19.778	5.064157e+02	7.007375e+02	1.136664e+03	1.718038e+03	NaN	NaN	NaN	NaN	NaN	0.604	B	0	0	unmatched_475.05
30	3169.734	421.298	21.5084705	-1.5893780	12.155	10.788	-22.367	0.1125	8.639630e+03	2.725898e+02	20.1588	0.0343	3.500	9.548	2.5112	25.0623	31.695	8.178641e+02	1.952373e+03	2.989069e+03	3.906238e+03	0.714	7.826	6.906	21.4192	24.8458	0.557	B	0	0	unmatched_485.35
31	1225.093	449.173	21.6505897	-1.5873294	9.348	6.339	-82.189	0.3219	3.578547e+03	1.833829e+02	21.1157	0.0556	3.500	14.520	3.8188	26.9514	19.514	4.607673e+02	6.570203e+02	1.196969e+03	1.230850e+03	2.818	33.808	2.854	21.2380	27.0289	0.613	B	0	0	unmatched_544.25
32	2287.348	493.314	21.5729575	-1.5841125	10.463	6.078	-28.383	0.4191	1.855526e+03	1.910656e+02	21.8288	0.1118	3.500	10.827	2.8475	27.1823	9.711	2.781907e+01	2.924318e+02	6.039863e+02	9.446576e+02	0.360	25.312	2.763	22.8198	27.3146	0.471	C	0	0	unmatched_429.69
33	765.176	497.872	21.6842007	-1.5837674	11.280	7.199	-75.217	0.3618	3.825497e+03	2.180165e+02	21.0433	0.0619	3.500	12.284	3.2307	27.4241	17.547	4.544480e+01	2.196937e+02	6.212559e+02	9.151643e+02	NaN	NaN	NaN	NaN	NaN	0.456	C	0	0	unmatched_565.22
34	2674.626	527.992	21.5446540	-1.5815813	10.240	3.948	69.403	0.6144	2.882381e+03	1.564375e+02	21.3506	0.0589	3.500	12.039	3.1663	27.6585	18.425	4.495441e+01	1.934744e+02	4.343426e+02	8.937443e+02	0.360	21.413	3.207	23.6008	26.9219	0.438	C	0	0	unmatched_422.78
35	507.274	530.488	21.7030482	-1.5813820	9.811	8.026	-56.795	0.1819	1.114617e+05	2.814115e+02	17.3822	0.0027	3.870	10.440	2.7458	26.8653	396.081	3.382647e+01	3.959806e+02	7.731907e+02	8.419860e+02	NaN	NaN	NaN	NaN	NaN	0.593	B	0	0	unmatched_584.24
36	6743.000	509.506	21.2473253	-1.5829310	9.590	4.467	-18.090	0.5342	3.727780e+03	2.150311e+02	21.0714	0.0626	3.500	13.374	3.5173	26.6525	17.336	4.670118e+02	6.454203e+02	1.288022e+03	3.117381e+03	0.360	27.805	6.902	21.7612	25.6344	0.531	B	0	0	unmatched_551.55
37	2150.413	538.822	21.5829647	-1.5807871	9.961	9.195	-71.310	0.0770	1.474743e+03	2.334324e+02	22.0782	0.1719	3.500	11.314	2.9756	27.5008	6.318	1.293334e+02	2.385922e+02	5.444954e+02	5.552702e+02	NaN	NaN	NaN	NaN	NaN	0.415	C	0	0	unmatched_422.93
38	2030.562	564.126	21.5917236	-1.5789378	14.434	5.501	-63.858	0.6189	7.084314e+03	2.206896e+02	20.3743	0.0338	3.500	12.146	3.1943	25.0319	32.101	1.450261e+03	2.813279e+03	3.546451e+03	5.683418e+03	0.716	6.165	3.858	21.2387	23.6655	0.483	C	0	0	unmatched_423.43
39	6211.321	548.807	21.2861820	-1.5800624	14.695	11.088	-83.348	0.2455	1.234252e+04	4.117196e+02	19.7715	0.0362	3.500	12.637	3.3235	24.6583	29.978	1.308843e+03	3.613109e+03	7.174876e+03	9.537062e+03	0.943	12.732	5.331	20.1012	24.6324	0.507	B	0	0	unmatched_436.26
40	4212.682	595.707	21.4322483	-1.5766391	10.823	3.293	-57.299	0.6958	8.215158e+02	1.378918e+02	22.7135	0.1822	3.500	20.364	5.3556	28.4324	5.958	6.324835e+01	2.447185e+02	3.735403e+02	1.141283e+03	NaN	NaN	NaN	NaN	NaN	0.160	D	0	0	unmatched_358.61
41	3537.156	656.773	21.4816176	-1.5721766	7.283	3.718	24.633	0.4896	9.889154e+02	1.316625e+02	22.5121	0.1446	3.500	10.675	2.8076	27.1204	7.511	1.209420e+02	3.398206e+02	5.987910e+02	8.925092e+02	0.360	8.863	3.341	23.4676	26.5706	0.440	C	0	0	unmatched_475.50
42	6134.964	653.741	21.2917627	-1.5723968	12.539	4.377	34.351	0.6510	5.231325e+03	2.420756e+02	20.7035	0.0502	3.500	13.251	3.4851	26.6693	21.610	5.804548e+02	7.749284e+02	1.051786e+03	1.710806e+03	0.759	3.045	7.713	22.9275	24.3557	0.558	B	0	0	unmatched_402.70
43	5650.244	664.282	21.3271874	-1.5716282	15.127	5.745	-89.318	0.6202	6.100019e+03	2.734964e+02	20.5367	0.0487	3.500	22.175	5.8321	26.9501	22.304	5.551694e+02	1.311293e+03	1.705528e+03	3.176735e+03	NaN	NaN	NaN	NaN	NaN	0.512	B	0	0	unmatched_319.09
44	2176.257	756.294	21.5810748	-1.5649000	14.305	5.601	-35.912	0.6084	3.568655e+03	2.280140e+02	21.1187	0.0694	3.500	15.146	3.9833	27.5248	15.651	1.548196e+02	2.576276e+02	6.718172e+02	8.762544e+02	1.263	14.229	3.415	23.2455	26.6755	0.483	C	0	0	unmatched_365.48
45	1615.056	758.739	21.6220882	-1.5647174	16.292	11.380	-86.654	0.3015	1.638221e+04	3.547048e+02	19.4641	0.0235	3.500	13.796	3.6285	25.4689	46.185	6.155024e+02	1.825561e+03	3.594773e+03	4.998801e+03	0.641	12.538	3.988	21.0800	25.1864	0.606	B	0	0	unmatched_419.43
46	6253.756	817.173	21.2830817	-1.5604567	6.713	3.041	-53.284	0.5470	2.796656e+03	1.310991e+02	21.3834	0.0509	3.500	11.008	2.8950	27.0767	21.332	1.635979e+02	3.679667e+02	7.605938e+02	3.242281e+03	NaN	NaN	NaN	NaN	NaN	0.474	C	0	0	unmatched_399.73
47	683.781	807.870	21.6901464	-1.5611199	13.531	5.286	68.052	0.6094	4.338851e+03	2.151978e+02	20.9066	0.0539	3.500	10.346	2.7211	25.9122	20.162	3.175520e+02	9.550523e+02	1.479638e+03	1.981222e+03	0.547	5.629	3.090	22.2742	24.3985	0.590	B	0	0	unmatched_498.30
48	353.890	834.511	21.7142547	-1.5591703	10.787	3.495	34.549	0.6760	1.373097e+03	2.022139e+02	22.1557	0.1599	3.500	12.935	3.4019	27.4844	6.790	1.533153e+01	2.191201e+02	5.492545e+02	7.754681e+02	0.360	14.072	5.491	23.3656	26.9790	0.338	C	0	0	unmatched_535.66
49	1025.908	836.015	21.6651432	-1.5590672	14.116	7.009	85.065	0.5034	3.180771e+03	2.712047e+02	21.2437	0.0926	3.500	10.056	2.6447	26.6071	11.728	1.725009e+02	4.942968e+02	9.913379e+02	9.682527e+02	0.487	8.767	3.575	22.6148	25.2383	0.562	B	0	0	unmatched_459.42
50	20.846	817.753	21.7385937	-1.5603907	25.299	14.990	71.282	0.4075	9.231675e+03	4.208261e+02	20.0868	0.0495	3.500	31.577	8.3048	27.0446	21.937	1.673557e+02	5.434784e+02	1.733375e+03	4.096971e+03	0.360	41.959	4.264	20.0689	26.8592	0.614	B	16	0	unmatched_592.81
51	1241.382	839.624	21.6493962	-1.5588054	14.225	5.445	-51.490	0.6172	5.155261e+03	2.245221e+02	20.7194	0.0473	3.500	11.402	2.9987	25.9006	22.961	6.551519e+02	1.143552e+03	1.666553e+03	2.402587e+03	0.890	6.584	4.216	22.1556	24.8637	0.579	B	0	0	unmatched_446.37
52	3195.136	874.809	21.5066125	-1.5562469	8.662	4.861	-15.605	0.4388	1.082791e+03	1.648684e+02	22.4136	0.1653	3.500	10.645	2.7997	27.3454	6.568	5.636903e+01	2.643161e+02	5.387991e+02	4.838562e+02	0.360	11.193	3.046	23.6508	27.3636	0.420	C	0	0	unmatched_381.89
53	2920.492	856.389	21.5266842	-1.5575915	18.099	11.137	-46.887	0.3847	5.588563e+03	3.595228e+02	20.6317	0.0698	3.500	24.330	6.3989	27.6603	15.544	2.388158e+02	5.279927e+02	8.777513e+02	1.651155e+03	0.360	9.195	3.034	22.9539	25.8556	0.504	B	0	0	unmatched_354.73
54	5641.843	878.739	21.3278018	-1.5559611	10.890	4.384	-11.204	0.5974	1.785631e+03	2.067225e+02	21.8705	0.1257	3.500	9.630	2.5327	26.2304	8.638	4.799599e+02	6.573854e+02	1.027341e+03	1.785854e+03	0.801	3.447	5.428	23.0757	24.6821	0.519	B	0	0	unmatched_271.28
55	6673.697	879.553	21.2523918	-1.5558976	7.606	4.142	-5.488	0.4554	2.569640e+03	1.703191e+02	21.4753	0.0720	3.500	10.175	2.6760	26.0637	15.087	5.186293e+02	8.390811e+02	1.405951e+03	2.580038e+03	NaN	NaN	NaN	NaN	NaN	0.511	B	0	0	unmatched_486.41
56	3739.539	921.948	21.4668264	-1.5528048	10.350	4.426	-52.067	0.5723	1.940031e+03	1.724566e+02	21.7805	0.0965	3.586	9.786	2.5738	26.6766	11.249	1.306143e+02	4.567351e+02	6.983121e+02	9.124251e+02	0.360	10.532	3.895	23.1237	26.2830	0.494	C	0	0	unmatched_392.71
57	2080.565	953.677	21.5880670	-1.5504796	14.722	5.739	-13.942	0.6102	4.602627e+03	2.439753e+02	20.8425	0.0576	3.500	14.231	3.7427	27.3035	18.865	3.001562e+02	3.800522e+02	9.199692e+02	1.102019e+03	NaN	NaN	NaN	NaN	NaN	0.428	C	0	0	unmatched_321.36
58	3922.734	954.874	21.4534380	-1.5503997	10.962	4.017	89.282	0.6335	1.872294e+03	1.551639e+02	21.8191	0.0900	3.500	12.465	3.2783	27.1773	12.067	5.319058e+01	3.005085e+02	6.952994e+02	1.158067e+03	0.360	15.043	2.634	23.2452	26.6163	0.449	C	0	0	unmatched_347.50
59	5908.386	960.541	21.3083225	-1.5499843	10.740	6.136	58.334	0.4287	1.902343e+03	2.474211e+02	21.8018	0.1412	3.500	12.716	3.3443	27.2033	7.689	7.822727e+01	3.118826e+02	7.952612e+02	1.151982e+03	0.360	14.432	4.204	22.7585	27.1176	0.442	C	0	0	unmatched_304.64
60	1847.645	1008.836	21.6050887	-1.5464484	12.203	4.874	38.541	0.6006	4.644127e+03	2.030006e+02	20.8327	0.0475	3.500	11.932	3.1381	26.9284	22.877	4.057754e+01	3.644721e+02	7.424190e+02	1.297996e+03	0.449	4.508	3.813	23.3647	25.4274	0.558	B	0	0	unmatched_331.88
61	2186.635	1026.034	21.5803148	-1.5451942	10.661	3.519	-26.810	0.6699	1.859824e+03	1.597488e+02	21.8263	0.0933	3.500	13.469	3.5425	27.1761	11.642	3.375598e+01	3.083384e+02	6.491952e+02	1.159364e+03	0.360	19.953	6.368	23.3734	26.7139	0.404	C	0	0	unmatched_295.58
62	2847.175	1065.947	21.5320414	-1.5422819	8.527	2.982	-14.498	0.6502	1.898507e+03	1.254660e+02	21.8040	0.0718	3.500	11.401	2.9985	26.4389	15.132	5.214290e+02	6.961901e+02	1.308904e+03	2.107122e+03	2.023	10.329	3.353	22.1167	25.5826	0.585	B	0	0	unmatched_296.35
63	2241.594	1065.056	21.5762981	-1.5423439	12.818	6.897	-20.594	0.4619	6.263924e+03	2.424723e+02	20.5079	0.0420	3.500	10.796	2.8393	25.4807	25.834	3.987516e+02	1.462067e+03	2.654645e+03	3.271346e+03	0.675	8.358	3.431	21.5708	24.9802	0.570	B	0	0	unmatched_282.49
64	2516.571	1055.456	21.5562025	-1.5430467	14.767	10.202	9.253	0.3092	2.614517e+04	3.582634e+02	18.9565	0.0149	3.901	37.323	9.8159	27.9903	72.977	4.412822e+01	9.554019e+01	6.570265e+02	2.456544e+03	NaN	NaN	NaN	NaN	NaN	0.502	B	0	0	unmatched_280.39
65	3717.465	1080.321	21.4684392	-1.5412347	12.612	3.891	5.252	0.6915	2.609564e+03	1.678783e+02	21.4586	0.0698	3.500	22.594	5.9423	28.1125	15.544	3.333585e+01	1.734845e+02	5.716463e+02	1.304695e+03	0.360	18.568	3.862	23.1048	27.2670	0.372	C	0	0	unmatched_356.94
66	994.167	1067.780	21.6674610	-1.5421354	14.380	9.005	-57.661	0.3738	1.100762e+04	2.982992e+02	19.8958	0.0294	3.500	12.499	3.2873	25.3831	36.901	1.898641e+03	2.273553e+03	3.393659e+03	4.592832e+03	0.706	2.580	6.138	21.6851	22.7516	0.555	B	0	0	unmatched_403.81
67	2867.545	1095.951	21.5305527	-1.5400900	10.804	6.121	-62.351	0.4335	3.302051e+03	2.146906e+02	21.2030	0.0706	3.774	18.002	4.7345	27.8836	15.381	8.631370e+01	2.200880e+02	5.497575e+02	2.131234e+03	NaN	NaN	NaN	NaN	NaN	0.376	C	0	0	unmatched_290.98
68	6257.803	1085.815	21.2827869	-1.5408311	11.210	3.947	-88.985	0.6480	3.842588e+04	2.525227e+02	18.5384	0.0071	4.432	28.426	7.4761	25.0725	152.168	6.363353e+02	1.014134e+03	2.263774e+03	3.623128e+04	NaN	NaN	NaN	NaN	NaN	0.435	C	0	0	unmatched_364.32
69	6591.320	1118.488	21.2584132	-1.5384427	9.232	5.009	7.158	0.4574	3.072616e+03	1.999876e+02	21.2812	0.0707	3.500	10.716	2.8182	27.3269	15.364	5.291954e+01	2.567727e+02	4.796429e+02	1.227145e+03	0.360	10.219	6.668	23.6812	27.1484	0.449	C	0	0	unmatched_441.66
70	3451.304	1120.619	21.4878906	-1.5382901	11.189	3.519	25.745	0.6855	4.392311e+02	1.515345e+02	23.3933	0.3746	3.500	10.495	2.7601	27.7314	2.899	2.372151e+01	1.771458e+02	3.298102e+02	4.582915e+02	0.360	21.299	2.700	23.1567	27.2035	0.298	D	0	0	unmatched_370.60
71	714.329	1117.531	21.6879111	-1.5384982	12.430	8.214	14.732	0.3392	1.723110e+04	2.920836e+02	19.4092	0.0184	4.096	13.324	3.5043	26.6681	58.994	2.797867e+02	5.998035e+02	1.048641e+03	1.915639e+03	NaN	NaN	NaN	NaN	NaN	0.590	B	0	0	unmatched_422.30
72	1701.083	1145.083	21.6157986	-1.5364939	11.066	6.069	47.180	0.4515	6.268253e+03	2.079384e+02	20.5071	0.0360	3.500	11.724	3.0833	27.1922	30.145	1.225847e+01	2.187881e+02	7.367339e+02	1.028667e+03	0.360	13.191	4.071	23.0567	27.1011	0.529	B	0	0	unmatched_322.70
73	1625.517	1144.304	21.6213211	-1.5365502	6.321	4.119	-78.833	0.3484	3.024747e+03	1.290981e+02	21.2983	0.0463	3.500	10.868	2.8582	25.8563	23.430	6.271303e+02	1.084174e+03	2.452699e+03	3.071246e+03	2.029	17.679	3.451	21.1313	26.0650	0.636	B	0	0	unmatched_335.31
74	3297.027	1190.105	21.4991652	-1.5332133	10.797	3.964	26.700	0.6328	1.650530e+03	1.559757e+02	21.9559	0.1026	3.500	11.242	2.9565	28.0933	10.582	3.356311e+01	1.179833e+02	3.005874e+02	4.337318e+02	0.360	13.975	4.084	23.6814	27.4157	0.313	C	128	0	unmatched_331.21
75	877.334	1151.276	21.6759984	-1.5360346	6.467	3.115	40.060	0.5183	4.189344e+03	1.194055e+02	20.9446	0.0309	3.818	15.351	4.0374	26.5575	35.085	5.019258e+02	7.793817e+02	2.587697e+03	3.935157e+03	0.768	4.613	8.240	22.8783	24.8194	0.600	B	0	0	unmatched_394.92
76	3683.008	1191.809	21.4709571	-1.5330899	14.355	8.104	79.655	0.4354	5.996791e+03	2.683131e+02	20.5552	0.0486	3.678	21.704	5.7082	27.9458	22.350	1.946119e+01	1.040885e+02	5.906383e+02	1.084985e+03	0.360	19.009	2.619	23.4019	27.3115	0.490	C	0	0	unmatched_331.12
77	5955.323	1229.150	21.3048931	-1.5303609	8.631	2.960	-52.990	0.6571	2.417370e+03	1.551178e+02	21.5416	0.0697	3.500	16.877	4.4388	27.4268	15.584	3.440730e+02	4.896470e+02	8.047269e+02	4.519475e+03	0.342	0.911	8.115	23.7854	22.4098	0.394	C	0	0	unmatched_276.30
78	5658.893	1233.920	21.3265566	-1.5300133	14.667	5.235	-10.473	0.6431	9.864116e+03	2.785595e+02	20.0149	0.0307	3.747	25.659	6.7482	27.6151	35.411	4.716960e+02	7.131475e+02	1.029438e+03	2.043428e+03	0.411	3.654	5.437	23.2680	24.6200	0.483	C	0	0	unmatched_208.71
79	766.739	1241.293	21.6840799	-1.5294574	10.134	6.737	47.851	0.3352	2.412703e+03	2.003473e+02	21.5437	0.0902	3.500	11.921	3.1351	27.2909	12.043	2.471049e+01	2.360039e+02	6.026977e+02	1.561401e+03	0.360	38.001	4.454	22.2795	27.0810	0.480	C	0	0	unmatched_387.20
80	5920.705	1209.535	21.3074230	-1.5317940	14.588	12.211	-20.878	0.1629	2.101157e+04	4.036996e+02	19.1939	0.0209	3.500	24.379	6.4117	25.6511	52.048	1.157325e+03	3.037497e+03	6.121468e+03	1.236678e+04	0.360	33.218	8.615	19.8550	25.0548	0.600	B	0	0	unmatched_270.60
81	1607.094	1262.085	21.6226666	-1.5279456	10.184	9.119	45.114	0.1045	3.720497e+03	2.440712e+02	21.0735	0.0712	3.620	11.774	3.0965	27.4775	15.243	9.769900e+01	2.547186e+02	5.272185e+02	6.446682e+02	0.360	5.647	2.991	23.9988	26.0017	0.546	B	0	0	unmatched_315.63
82	2278.464	1286.170	21.5736024	-1.5261906	8.438	6.328	64.632	0.2500	2.706033e+03	1.800287e+02	21.4192	0.0722	3.500	9.506	2.5002	27.2645	15.031	6.978896e+01	2.624963e+02	4.721123e+02	8.996855e+02	0.360	10.535	3.022	23.6502	27.5463	0.531	B	0	0	unmatched_223.56
83	2239.444	1293.846	21.5764540	-1.5256296	10.813	3.303	-53.393	0.6945	1.108436e+03	1.458280e+02	22.3882	0.1428	3.500	11.975	3.1495	27.1625	7.601	1.118244e+02	3.462549e+02	6.432353e+02	1.364334e+03	0.360	14.565	3.678	22.8157	26.4400	0.392	C	0	0	unmatched_223.86
84	3725.309	1298.631	21.4678655	-1.5252861	13.446	4.699	-72.787	0.6505	2.546098e+03	1.884342e+02	21.4853	0.0804	3.500	12.927	3.3999	27.2058	13.512	7.197646e+01	1.935466e+02	7.374722e+02	9.308001e+02	0.360	15.795	3.708	23.1535	26.5472	0.444	C	0	0	unmatched_301.02
