NUMBER	X_IMAGE	Y_IMAGE	RA	DEC	A_IMAGE	B_IMAGE	THETA_IMAGE	ELLIPTICITY	FLUX_AUTO	FLUXERR_AUTO	MAG_AUTO	MAGERR_AUTO	KRON_RADIUS	R_EFF_PIX	R_EFF_ARCSEC	MU_EFF	SNR_TOTAL	FLUX_APER_5	FLUX_APER_10	FLUX_APER_20	FLUX_APER_40	SERSIC_N	SERSIC_RE	SERSIC_CHI2	MAG_SERSIC	MU_EFF_SERSIC	LSBG_CONF	LSBG_GRADE	FLAGS	LABEL	MATCH_INFO
313	3156.331	5070.753	21.5094343	-1.2497110	20.443	8.791	-13.388	0.5700	2.497384e+04	4.100211e+02	19.0063	0.0178	3.859	38.078	10.0145	28.0959	60.909	5.006856e+01	1.985958e+02	7.507060e+02	1.961652e+03	NaN	NaN	NaN	NaN	NaN	0.424	C	0	0	unmatched_114.52
314	2099.142	5063.001	21.5866855	-1.2502731	13.984	11.411	-56.276	0.1840	1.126998e+04	3.339054e+02	19.8702	0.0322	3.500	12.807	3.3683	24.6680	33.752	1.378199e+03	3.671800e+03	6.918443e+03	9.628655e+03	1.028	13.240	3.628	20.0688	24.6538	0.539	B	0	1	matched_0.11
315	3737.846	5080.013	21.4669415	-1.2490359	12.078	10.346	-53.130	0.1434	7.047196e+03	3.368733e+02	20.3800	0.0519	3.500	11.714	3.0809	25.5732	20.919	6.509852e+02	1.557803e+03	2.513861e+03	3.744920e+03	1.091	10.243	6.119	21.5150	25.2486	0.624	B	0	0	unmatched_38.66
316	3590.603	5089.942	21.4777009	-1.2483103	13.152	11.762	30.428	0.1056	2.284932e+04	3.691094e+02	19.1028	0.0175	3.500	14.314	3.7646	24.8482	61.904	1.330303e+03	3.510683e+03	6.713800e+03	1.026472e+04	1.303	16.169	5.168	19.9078	24.9336	0.566	B	0	1	matched_0.39
317	4371.589	5126.424	21.4206323	-1.2456461	12.053	6.180	35.050	0.4873	3.833209e+03	2.483114e+02	21.0411	0.0703	3.500	10.699	2.8139	26.0159	15.437	3.492597e+02	9.134810e+02	1.710899e+03	1.996471e+03	1.014	13.162	3.815	21.7572	25.8828	0.588	B	0	0	unmatched_205.43
318	4149.291	5140.361	21.4368761	-1.2446278	13.082	5.347	-12.592	0.5913	1.428246e+04	2.754739e+02	19.6130	0.0209	4.324	13.110	3.4478	27.3775	51.847	5.859407e+01	1.834729e+02	5.452986e+02	8.389521e+02	0.360	17.374	4.041	23.4316	27.7548	0.482	C	0	0	unmatched_147.32
319	6570.161	5124.723	21.2599774	-1.2457667	10.631	4.566	30.249	0.5705	9.156712e+03	1.951218e+02	20.0957	0.0231	3.500	24.137	6.3481	26.3467	46.928	1.208537e+03	1.625279e+03	2.426014e+03	8.441084e+03	NaN	NaN	NaN	NaN	NaN	0.613	B	0	0	unmatched_497.07
320	1440.501	5157.260	21.6348128	-1.2433832	10.608	9.212	74.186	0.1317	6.833690e+03	2.672995e+02	20.4134	0.0425	3.500	10.095	2.6551	25.0761	25.566	8.861805e+02	2.046209e+03	3.378279e+03	4.132108e+03	1.107	10.721	3.375	20.9709	25.0688	0.592	B	0	0	unmatched_175.01
321	618.013	5157.688	21.6949127	-1.2433459	9.889	7.182	24.857	0.2737	1.478825e+04	2.426118e+02	19.5752	0.0178	3.500	20.901	5.4971	25.6735	60.954	1.463730e+03	2.413082e+03	4.629278e+03	1.211463e+04	NaN	NaN	NaN	NaN	NaN	0.585	B	0	0	unmatched_324.45
322	4144.009	5209.861	21.4372620	-1.2395505	11.253	6.751	28.108	0.4001	2.678425e+03	2.229377e+02	21.4303	0.0904	3.500	20.011	5.2628	27.5421	12.014	4.043362e+02	6.022544e+02	8.363942e+02	1.719207e+03	0.365	4.655	3.006	23.1107	25.0548	0.477	C	0	0	unmatched_148.67
